CGPA,Projects,Internships,DSA_Solved,Certifications,Communication_Score,Package
7.59,5,2,442,0,1,14.4
9.19,3,3,591,0,4,18.6
6.6,2,2,338,5,6,13.3
6.92,3,1,437,0,4,12.5
8.89,5,3,444,1,7,19.3
8.88,5,1,135,0,7,14.5
8.56,1,0,386,4,6,14.2
8.78,4,1,24,4,9,14.4
8.17,1,0,505,3,2,12.5
7.01,5,1,324,1,10,14.3
7.38,2,1,337,4,8,13.5
6.73,2,3,94,5,8,14.2
9.63,1,1,544,2,10,18.1
8.33,5,3,145,2,4,15.3
7.6,2,3,230,2,6,15.2
7.85,5,2,494,5,6,18.5
9.79,2,2,37,0,5,13.9
6.61,5,0,424,5,1,13.0
8.34,3,1,436,0,3,13.6
8.02,5,0,367,2,7,15.4
8.45,5,1,344,3,8,16.8
6.07,1,2,159,3,2,9.5
9.49,3,2,549,0,3,19.4
9.73,4,1,540,2,4,18.5
8.26,1,1,143,5,5,12.3
8.79,4,2,587,3,3,18.0
9.69,2,2,575,0,5,18.2
8.83,4,0,344,5,8,15.6
6.61,5,2,268,2,8,14.2
8.31,4,1,267,1,2,14.7
8.43,1,0,168,2,6,11.0
7.7,1,1,32,2,4,9.2
8.95,4,3,376,5,9,20.3
9.74,1,0,213,5,10,15.0
9.7,1,1,561,4,2,17.3
7.8,4,2,439,4,8,17.4
6.45,3,3,491,5,1,15.8
9.94,3,1,392,5,6,18.1
9.36,2,0,488,1,10,16.1
6.5,1,1,28,1,1,6.1
9.68,4,3,38,2,2,16.0
9.48,1,0,172,3,3,11.2
8.08,5,3,16,1,9,14.6
8.37,1,1,55,2,5,11.2
7.6,1,2,225,0,10,12.1
6.22,3,2,557,4,10,16.1
7.34,4,1,66,3,2,10.5
9.21,1,1,196,2,10,15.0
6.02,3,1,22,5,5,8.3
7.33,2,0,236,0,5,9.9
7.59,3,3,565,4,1,17.2
8.15,3,3,137,0,3,13.9
9.68,3,3,472,2,5,20.4
7.39,1,1,552,1,9,14.1
7.39,1,3,228,4,10,13.8
8.95,2,1,316,0,1,13.1
7.81,5,0,597,1,8,16.2
6.9,5,2,560,3,1,15.5
7.81,5,1,200,2,9,14.2
6.56,2,1,257,2,6,10.5
6.71,5,2,479,4,1,15.7
7.99,5,2,177,0,8,14.6
7.68,3,0,122,3,5,9.8
9.66,1,3,341,5,7,18.2
7.45,1,1,170,4,7,11.5
8.32,3,3,58,5,7,16.7
8.53,3,1,464,4,6,17.6
6.05,3,0,259,0,8,9.5
8.65,1,2,372,3,9,15.9
6.71,5,0,94,0,2,8.1
9.84,3,2,124,2,7,17.0
6.59,2,3,40,5,2,11.9
7.66,3,3,253,1,6,14.6
6.34,4,0,6,2,2,8.0
9.99,3,2,470,2,10,20.2
8.01,1,0,510,5,6,14.3
8.38,3,2,580,4,2,17.9
6.27,4,2,68,2,1,9.1
9.0,2,3,80,3,7,16.1
6.84,5,3,541,2,3,17.5
9.59,3,2,584,3,4,19.1
6.82,4,2,261,0,6,12.3
6.76,4,2,88,4,5,12.6
6.15,2,3,207,3,4,11.9
7.89,1,3,212,2,9,14.7
8.26,3,1,265,4,6,14.5
6.26,4,2,292,4,6,12.6
9.1,2,1,206,3,2,13.6
7.81,5,2,332,3,6,17.2
8.1,4,3,76,1,7,14.7
7.76,2,1,287,1,8,12.5
7.6,1,1,46,4,8,11.1
8.24,1,0,199,5,9,14.0
6.62,4,2,426,5,10,16.9
6.73,4,3,209,1,3,13.0
9.45,3,0,419,2,10,16.7
9.78,2,0,153,0,7,13.7
7.49,4,2,521,4,7,16.9
7.08,3,0,414,0,1,10.5
8.58,3,2,352,1,8,15.9
7.63,4,0,156,3,4,11.7
6.1,1,2,260,4,5,10.8
6.62,2,3,76,1,6,11.5
8.86,2,2,487,2,3,16.2
8.64,1,2,130,4,5,14.0
6.11,4,1,578,4,10,15.3
6.89,2,3,454,5,5,16.8
6.92,4,3,162,3,1,13.8
8.69,4,3,14,4,3,14.7
6.08,3,0,231,3,3,8.8
6.42,1,1,194,1,1,8.1
9.2,4,3,541,2,7,20.5
6.71,5,0,358,2,1,11.6
8.61,1,0,330,4,7,13.9
6.95,2,0,426,4,4,11.4
6.4,3,1,496,1,9,13.9
6.97,2,0,485,5,7,11.8
8.89,2,1,448,5,5,17.0
9.42,1,2,412,5,7,18.4
9.32,2,0,329,3,9,14.7
7.59,4,3,146,5,10,16.9
8.67,2,0,258,2,6,11.6
6.82,3,2,291,3,1,11.8
7.17,3,2,142,1,6,12.7
9.59,5,0,364,2,1,15.4
6.05,3,2,89,2,4,9.8
6.34,2,1,163,0,8,9.5
6.83,3,1,480,1,5,12.8
6.11,1,0,83,1,5,6.7
6.73,3,1,76,0,10,10.1
8.33,4,1,516,3,8,17.6
7.69,1,3,484,5,8,16.8
9.57,5,0,589,5,1,18.4
9.27,4,2,598,5,5,20.3
7.37,2,0,103,5,5,10.1
7.04,2,1,451,5,8,14.1
7.52,2,3,486,0,1,14.4
8.36,4,0,338,1,7,13.4
7.07,4,0,565,3,7,14.6
8.5,4,1,477,2,9,17.5
7.64,1,1,222,5,2,10.6
8.21,1,0,8,0,3,7.7
7.74,2,1,52,3,4,10.6
7.18,3,1,76,3,1,9.5
9.79,2,1,502,3,7,17.9
9.05,5,1,315,0,10,17.9
6.56,1,1,164,2,3,8.0
9.47,4,3,278,5,3,17.8
7.95,1,1,26,3,3,9.5
9.58,4,2,69,0,8,15.8
9.2,5,0,217,1,9,15.1
7.7,5,3,364,0,10,17.9
6.09,1,3,305,0,2,10.0
7.07,4,1,123,0,10,11.4
8.17,5,0,18,3,10,12.7
8.53,2,2,256,0,1,12.6
7.03,2,1,295,1,9,13.2
6.56,4,0,21,3,6,9.8
9.34,1,1,449,1,9,15.4
9.94,5,1,551,4,6,19.5
8.1,1,1,549,0,2,13.0
6.69,2,1,47,5,1,9.8
7.09,5,1,586,5,8,17.6
6.07,1,1,182,3,3,8.2
9.66,3,1,434,5,1,16.7
6.47,4,2,106,3,8,13.0
8.31,4,3,187,0,1,14.5
7.1,3,2,85,2,8,13.2
8.22,2,1,455,2,1,12.6
8.61,5,1,136,1,9,15.2
9.32,4,2,335,0,9,17.7
6.83,3,2,468,5,9,16.4
6.04,3,3,570,0,3,14.1
6.55,2,2,402,4,4,13.3
9.6,2,3,539,2,5,20.1
9.5,1,1,71,5,6,14.6
8.39,4,0,23,2,9,13.2
8.4,1,0,484,0,4,12.3
8.66,3,0,55,5,6,12.2
6.7,5,0,222,1,1,9.0
9.66,5,1,178,0,2,15.1
7.68,2,0,433,1,8,13.2
7.53,5,2,449,5,4,16.4
8.08,5,2,491,2,10,19.4
6.19,5,0,188,4,7,10.9
6.67,3,2,577,3,4,14.3
8.95,5,3,419,2,9,20.1
6.33,5,1,248,1,9,12.0
8.41,5,0,587,0,4,15.1
6.98,1,0,163,5,8,10.4
7.56,3,1,254,2,6,13.2
7.15,2,2,475,4,1,14.7
7.42,1,1,416,5,7,13.4
8.88,4,1,169,1,1,13.2
7.19,3,2,316,5,3,13.7
8.27,3,1,173,5,8,14.5
7.9,4,2,469,0,9,16.2
8.65,4,2,344,3,3,15.9
9.75,4,1,444,1,1,17.0
8.93,2,3,17,0,1,12.1
6.86,5,2,69,3,7,13.4
6.12,3,1,337,0,5,10.0
7.05,5,2,591,3,1,15.1
8.38,5,3,526,3,6,18.8
6.21,4,3,455,3,6,16.3
7.99,2,0,268,0,4,9.6
8.39,1,2,187,5,7,14.5
7.34,2,2,568,3,7,16.2
9.08,5,1,528,5,9,19.4
6.43,2,2,433,1,1,11.2
6.3,4,0,287,4,5,11.1
8.91,1,3,566,5,10,20.5
7.98,4,3,498,4,3,17.9
8.75,1,0,440,3,7,14.3
7.74,5,2,302,4,4,15.8
6.99,1,2,86,4,4,10.1
9.28,1,0,437,3,1,14.0
9.2,1,1,540,5,1,16.0
8.78,2,3,21,3,10,14.9
7.09,2,0,559,1,2,11.6
8.36,5,0,516,2,2,14.7
7.44,1,2,502,0,1,12.5
6.37,3,3,466,3,8,15.8
9.67,5,2,100,3,6,17.0
6.55,1,0,582,4,6,12.9
9.8,1,1,140,1,10,13.9
7.78,2,3,137,4,10,15.5
6.74,5,0,577,5,9,15.9
8.17,1,0,227,3,5,11.1
9.49,1,1,280,3,4,14.3
8.93,5,0,430,4,6,16.6
9.23,3,0,39,3,8,12.7
8.64,5,3,518,5,1,19.3
8.77,5,3,210,2,7,18.6
9.4,3,3,301,0,8,17.9
7.0,5,2,85,0,9,14.1
7.96,1,1,396,0,8,13.5
6.88,5,3,252,2,7,14.2
9.95,3,2,532,3,3,19.7
9.78,4,2,380,4,2,18.4
6.16,5,1,443,1,3,11.6
8.82,2,1,32,3,4,12.7
9.7,1,0,259,2,4,12.9
6.72,1,2,233,5,6,11.9
8.27,2,3,514,2,7,18.1
9.66,2,1,307,0,4,15.2
6.14,5,2,69,3,10,12.9
8.79,2,3,453,0,6,17.4
7.19,4,2,438,1,9,15.5
9.7,3,1,363,5,6,18.3
9.88,2,0,480,0,3,14.9
9.78,2,2,143,1,1,14.1
7.9,4,3,23,2,10,15.2
9.45,1,1,424,0,10,16.6
9.38,1,0,174,0,5,11.4
7.28,5,3,324,4,10,18.6
9.32,4,3,347,5,10,20.8
6.15,3,3,17,5,3,11.6
8.39,3,2,43,2,8,14.1
6.92,4,1,154,4,10,12.7
6.48,3,3,376,1,1,12.9
6.31,1,2,401,1,2,9.6
8.79,3,1,224,2,3,13.2
7.36,3,1,216,5,3,11.5
8.9,4,2,567,1,8,20.2
6.26,4,2,30,2,5,9.7
7.26,3,3,58,1,8,14.6
8.16,2,1,352,3,6,14.4
9.16,4,0,444,0,2,14.2
7.28,5,2,234,5,4,15.3
8.5,5,1,106,3,9,14.9
9.54,1,1,190,2,4,12.8
8.46,3,3,529,2,5,18.5
6.93,2,0,582,3,5,13.0
6.1,1,3,565,0,10,15.3
9.48,3,0,244,0,8,14.5
6.09,4,0,75,4,6,8.8
9.5,5,2,546,1,10,21.8
8.12,2,1,266,4,7,14.5
9.76,5,1,316,0,6,17.3
9.2,4,1,120,3,5,15.4
9.99,3,0,24,1,5,13.9
7.4,4,1,431,3,3,13.8
9.07,4,2,159,4,7,16.4
7.61,5,0,595,2,10,16.2
7.92,2,0,113,3,5,9.7
8.51,4,0,501,4,7,16.7
9.49,5,0,165,4,2,13.7
9.94,2,2,174,4,9,18.2
9.07,3,1,0,2,8,13.1
7.67,3,2,85,2,5,13.2
7.69,1,1,573,2,2,12.0
8.95,5,2,319,1,6,17.2
6.96,2,3,400,2,8,14.6
6.44,4,3,381,2,7,16.0
7.42,3,3,317,2,8,16.8
7.15,2,3,249,3,4,12.5
7.19,5,0,524,2,3,14.0
6.93,1,0,554,1,7,12.3
6.17,3,2,255,4,2,11.6
6.07,2,2,306,3,5,11.8
9.95,2,3,143,0,7,17.1
7.71,2,1,390,2,1,12.6
7.54,5,3,168,4,4,15.2
8.72,5,2,297,4,2,17.4
6.87,5,3,232,3,6,15.5
9.8,4,2,270,0,1,16.2
9.15,2,3,59,5,7,16.8
6.36,3,1,295,1,3,9.6
7.67,5,3,466,5,1,17.1
9.52,5,1,234,4,8,17.7
9.78,2,1,233,5,7,17.2
7.87,5,2,367,4,2,15.5
8.45,4,1,231,5,7,15.7
6.67,4,0,490,4,3,12.2
9.96,5,0,502,4,9,19.2
6.93,2,0,591,3,8,13.7
9.77,2,2,380,0,5,17.2
8.6,2,0,427,4,7,14.3
8.43,1,2,363,1,3,14.5
8.05,5,2,201,1,1,14.1
6.92,2,0,145,2,1,7.7
6.71,4,1,456,4,2,13.4
6.88,3,3,134,4,8,15.3
6.75,3,2,263,4,1,12.5
9.12,2,0,63,5,5,12.0
7.4,3,2,490,4,9,16.9
6.23,3,1,40,4,9,10.4
9.88,1,1,295,1,2,14.4
9.54,4,0,2,0,7,12.8
9.71,4,2,109,0,1,15.7
9.98,1,3,220,2,3,16.4
6.7,1,3,369,1,6,12.4
7.58,3,2,367,4,9,16.3
9.03,5,2,435,0,10,19.0
8.78,3,2,3,3,2,12.3
6.62,1,0,243,3,7,9.0
9.26,4,1,165,3,4,14.8
6.9,3,3,25,4,2,12.5
6.9,5,0,394,4,3,12.0
8.15,3,2,473,2,6,16.7
8.37,2,2,16,2,10,14.7
8.32,3,1,91,2,9,13.2
6.37,1,2,482,5,8,14.1
9.51,4,0,542,3,10,19.0
7.06,4,0,204,4,9,12.6
6.52,1,1,501,3,4,12.4
9.55,2,0,399,2,4,14.5
9.82,1,3,206,4,9,18.6
9.45,3,0,145,1,8,14.0
9.24,1,0,100,0,2,9.8
8.62,1,0,240,0,8,11.6
8.2,2,3,162,2,1,13.5
6.35,3,2,172,3,9,11.9
7.63,5,0,501,1,9,15.1
7.49,5,1,546,4,8,18.0
7.04,4,3,283,3,5,15.7
8.89,1,1,358,2,5,13.8
7.98,4,0,380,3,3,13.3
6.32,2,1,532,2,5,12.7
6.88,5,0,162,5,4,11.6
8.73,1,3,306,0,1,14.6
6.3,2,1,338,0,9,11.3
9.4,2,1,54,3,10,14.7
7.98,1,0,332,1,4,10.7
7.92,2,0,126,4,3,9.7
8.37,1,2,242,2,6,14.2
9.3,1,0,599,4,1,14.9
7.39,3,0,408,0,5,10.8
8.71,4,2,502,1,7,17.9
8.26,2,0,302,1,2,11.5
7.07,2,0,463,4,10,12.5
9.51,3,2,234,0,9,16.3
9.19,3,3,37,4,6,16.5
8.63,3,3,138,3,2,15.8
9.4,5,0,194,1,8,15.7
9.47,5,0,526,1,8,18.7
8.83,5,2,0,3,1,14.1
9.35,1,2,560,0,1,15.9
8.79,2,3,95,1,1,14.0
8.72,4,1,412,5,4,16.3
8.47,1,0,537,5,4,13.9
9.01,2,1,428,5,8,16.5
6.63,2,1,234,2,1,9.9
9.52,3,2,348,2,10,18.2
9.49,3,0,480,0,3,15.4
6.12,1,0,395,3,1,8.4
9.3,3,2,350,4,9,19.2
6.52,2,1,415,0,10,11.7
7.34,3,2,50,4,9,13.0
8.97,5,3,80,0,7,16.9
6.64,3,0,35,2,8,8.7
9.27,2,3,66,5,1,14.0
9.33,1,2,480,3,5,16.5
8.03,4,0,467,2,2,13.0
6.03,3,3,141,3,1,10.5
7.15,2,3,355,4,3,14.9
8.47,4,1,470,0,7,16.2
9.92,4,0,590,1,1,16.9
8.53,5,3,438,1,2,19.0
7.04,4,3,530,3,2,17.0
8.54,2,1,126,5,4,13.4
8.16,2,3,204,5,3,14.4
9.12,3,3,28,3,3,15.2
6.43,3,3,444,2,10,16.1
9.04,3,1,463,1,5,15.9
8.17,4,3,279,2,3,16.9
9.85,4,3,150,4,7,19.2
7.37,5,0,239,1,5,11.2
8.53,3,0,265,4,4,12.7
9.73,1,1,104,0,3,13.4
6.41,5,2,432,2,4,14.1
9.75,1,0,496,3,2,13.8
8.75,4,1,439,1,1,14.7
6.27,5,3,157,2,3,11.9
7.2,5,3,171,3,2,14.9
8.83,2,1,493,0,1,13.1
6.27,4,3,310,1,1,12.0
8.33,4,3,402,4,2,17.7
7.38,5,2,462,0,9,17.2
8.48,4,3,366,5,5,18.6
6.18,5,0,549,3,9,13.4
9.49,2,3,254,1,8,17.7
9.89,5,1,207,1,6,16.5
9.88,4,2,449,0,1,18.3
9.0,4,3,94,1,10,17.7
6.52,5,1,477,3,5,13.9
9.03,5,0,189,0,1,12.9
6.1,5,3,483,4,7,16.9
6.09,3,2,535,0,10,15.0
7.29,4,3,422,0,8,16.9
7.95,4,1,132,4,8,14.3
9.08,3,2,54,5,7,16.4
8.73,5,3,509,3,2,19.4
7.78,2,0,540,5,5,13.8
7.09,5,2,409,5,4,16.2
9.99,5,0,210,5,5,16.5
7.7,3,1,292,2,10,14.5
7.81,4,3,114,5,9,16.7
6.65,5,0,258,2,4,11.1
9.18,4,1,121,4,8,15.2
8.77,1,3,298,3,8,17.1
6.88,4,1,380,5,2,12.6
6.33,2,0,560,1,6,11.7
8.72,2,1,500,4,5,16.7
8.62,5,2,296,2,2,16.2
7.09,4,3,361,3,10,17.3
9.8,5,1,588,0,4,18.7
6.6,3,0,462,3,7,12.0
7.73,2,3,437,3,1,15.3
9.77,5,2,126,5,9,20.1
7.68,3,3,196,5,10,16.9
8.55,5,2,220,2,1,14.4
7.59,4,3,90,2,5,13.4
7.1,4,1,410,5,7,14.3
9.94,4,1,7,5,8,16.1
7.64,4,0,543,1,2,13.9
9.58,1,2,467,1,4,16.1
6.92,3,0,319,4,2,11.4
6.85,3,1,393,5,4,13.3
6.12,4,2,268,0,6,12.1
8.61,1,0,190,1,6,11.3
7.47,4,0,60,2,2,9.7
9.46,1,0,437,3,4,14.2
7.89,4,0,263,4,4,11.6
9.87,2,0,94,1,1,11.3
6.74,2,2,552,3,2,13.3
9.47,5,0,469,3,3,17.0
9.11,4,2,513,1,5,18.5
9.08,3,0,193,0,8,13.1
9.38,5,1,481,0,6,18.7
9.04,2,1,335,4,3,14.5
8.5,4,0,434,0,6,13.3
6.52,5,3,195,4,7,15.2
6.13,4,1,248,2,6,11.7
9.68,2,2,497,1,10,19.3
8.47,5,0,211,3,6,13.9
9.19,2,2,465,4,1,16.9
7.93,1,3,220,0,3,13.8
6.47,2,0,272,4,7,9.8
6.5,4,1,153,5,4,11.3
8.74,3,2,248,4,4,16.1
7.72,2,1,278,0,7,12.3
6.8,3,1,439,5,9,14.6
7.97,1,0,275,5,2,10.8
6.26,5,2,513,0,9,15.3
8.33,5,3,87,5,3,16.6
7.08,3,1,504,1,6,13.9
9.19,5,0,589,3,4,18.7
7.24,2,0,240,1,1,8.0
7.82,3,3,235,1,9,16.7
6.05,4,0,127,0,6,8.1
6.29,2,1,502,0,8,12.1
7.57,2,0,199,3,2,10.2
7.92,2,2,542,4,7,17.4
8.4,4,2,501,1,6,18.0
7.17,1,1,491,5,2,13.4
8.78,5,2,20,3,2,14.4
9.44,3,3,233,1,4,17.7
9.12,1,0,415,4,4,13.7
6.16,3,1,147,5,3,9.8
7.92,5,3,28,1,8,15.2
6.42,4,0,360,2,7,11.2
6.97,2,3,307,3,2,13.4
9.95,2,1,161,0,3,14.1
6.57,4,1,60,1,10,11.3
8.0,1,3,124,5,9,14.9
8.47,1,0,455,5,5,13.6
8.81,3,2,70,3,2,13.2
8.24,4,2,465,3,3,16.8
6.04,1,3,242,5,8,12.2
7.31,4,1,489,5,4,14.8
8.07,5,0,220,5,2,12.9
6.35,2,0,472,1,2,10.1
7.4,2,1,532,5,6,14.9
6.13,2,2,493,0,8,13.5
6.31,4,0,81,5,7,10.1
7.59,4,3,521,0,4,16.6
6.53,3,2,11,1,2,8.9
8.27,2,3,262,3,9,16.1
8.76,3,2,448,0,4,17.4
9.2,2,1,191,1,9,15.1
6.8,3,3,113,5,5,13.8
6.67,3,3,25,1,7,11.3
6.42,5,1,498,5,5,14.6
8.55,3,3,507,1,2,16.8
8.83,4,2,544,3,6,19.1
6.13,3,0,61,0,7,7.0
9.74,2,0,228,3,6,13.9
6.21,3,1,34,2,3,7.7
8.17,1,2,455,5,10,17.0
8.84,2,3,587,0,8,19.0
9.48,1,3,501,3,3,18.2
8.86,2,0,594,0,5,15.5
9.21,4,3,24,2,9,17.5
7.36,4,0,568,4,5,14.3
9.26,4,1,31,5,7,15.4
6.32,1,3,11,5,7,10.9
9.58,5,2,318,1,5,17.9
8.19,2,3,0,5,2,13.6
9.27,4,0,434,5,5,17.1
7.81,2,1,135,3,7,11.8
8.57,1,0,195,5,7,12.0
8.11,5,3,132,5,4,16.6
8.93,1,0,85,2,1,10.0
6.33,2,0,475,2,6,10.5
6.24,5,1,323,0,3,11.6
6.99,5,2,179,0,5,13.1
6.64,1,3,515,5,4,14.7
9.49,4,1,174,5,2,16.0
6.88,2,2,20,1,7,11.0
9.9,3,0,104,0,5,14.0
7.35,3,2,577,3,7,17.6
6.73,1,0,442,5,9,11.8
9.16,2,0,48,3,4,11.9
8.63,2,1,527,5,5,17.0
7.99,1,0,144,3,9,11.0
8.22,2,1,339,4,10,15.6
8.88,4,2,353,3,4,16.2
6.91,1,2,74,0,5,8.5
9.99,4,0,577,5,5,18.1
9.9,2,1,318,0,8,16.2
8.6,1,0,86,3,4,10.6
6.8,2,1,552,2,4,12.7
8.72,1,1,41,2,7,12.7
6.29,2,1,92,2,5,9.2
6.12,4,2,506,5,6,14.5
7.03,4,1,528,1,6,14.3
7.85,2,2,264,4,6,14.0
9.47,1,1,291,3,10,16.2
8.91,3,2,463,1,5,17.1
8.97,4,3,559,2,5,19.6
7.7,4,2,96,3,9,15.4
7.38,3,2,94,1,8,12.6
7.48,2,0,325,0,4,10.1
9.95,1,1,73,2,7,13.8
6.16,2,3,335,1,8,14.1
9.47,5,0,67,5,9,16.2
8.31,4,1,76,0,5,12.1
7.75,5,3,207,2,3,15.0
8.9,4,3,220,4,4,17.1
7.95,4,3,261,2,10,17.1
9.49,5,1,409,5,6,19.2
9.6,5,3,330,4,10,22.0
7.69,2,3,343,4,5,15.4
7.11,5,0,73,4,9,12.3
8.37,2,2,253,3,3,13.6
9.65,2,1,331,3,2,14.9
6.84,2,2,397,4,6,13.3
8.49,4,0,344,0,7,13.1
8.53,4,2,583,4,5,18.5
8.93,5,3,454,1,1,18.4
6.53,4,3,114,4,3,12.4
8.86,5,1,312,3,3,16.6
9.64,4,1,227,3,4,15.6
6.72,1,1,244,1,10,11.0
6.95,1,0,525,1,6,11.9
9.89,5,1,527,2,5,19.4
6.72,4,0,426,0,1,10.2
9.42,4,3,41,0,6,16.3
7.97,2,2,464,0,9,15.5
6.99,3,3,277,5,1,13.6
9.48,5,3,18,3,8,18.4
7.78,3,3,65,0,8,13.5
8.06,3,1,166,2,3,12.5
7.44,5,1,584,2,9,17.5
8.37,4,1,402,0,8,15.7
6.65,5,2,408,1,3,14.4
7.56,3,1,111,2,10,12.3
9.88,4,0,273,1,5,15.6
7.03,1,3,406,3,3,14.3
8.63,5,2,372,5,5,18.2
7.3,5,2,596,2,9,18.0
9.09,4,2,38,1,4,14.5
6.52,1,2,104,0,6,10.3
9.88,1,2,323,3,3,16.2
7.82,4,0,413,4,3,13.4
6.94,2,3,428,4,5,15.9
6.29,5,2,60,0,8,11.6
6.68,5,3,306,3,8,16.7
8.08,3,1,353,3,3,14.6
7.35,4,2,392,3,8,15.2
9.32,3,2,203,3,8,16.9
7.72,3,3,257,4,3,15.1
6.99,1,2,485,1,10,13.9
8.47,5,2,516,3,10,18.9
8.83,3,2,445,1,2,15.3
6.67,1,0,179,3,10,9.7
6.67,4,0,341,2,2,10.2
6.15,3,2,132,5,9,12.1
8.95,5,0,442,2,7,16.6
8.66,3,1,252,5,6,14.9
7.9,4,2,264,2,7,16.0
9.38,3,1,92,3,8,14.6
9.22,5,3,410,1,1,19.3
8.34,1,1,137,5,8,13.1
9.47,5,3,207,4,3,18.3
6.82,1,2,572,0,3,12.4
6.45,2,3,306,5,6,14.9
7.08,5,3,265,5,4,16.4
6.23,5,1,317,4,4,12.2
8.12,4,1,112,3,4,12.9
9.75,3,1,377,2,10,16.8
6.16,1,2,453,2,9,12.3
6.49,1,2,190,1,8,10.4
7.81,4,1,439,3,3,14.3
9.74,4,2,186,4,1,17.2
7.26,3,2,366,3,1,12.5
8.03,3,3,88,3,1,12.8
6.17,5,3,186,2,4,13.4
6.59,2,1,131,4,6,10.4
9.95,3,2,559,0,4,18.7
9.86,4,3,375,5,3,21.3
6.02,3,0,98,2,8,8.8
9.81,1,2,33,4,8,16.0
8.56,2,0,581,1,6,14.7
9.47,5,1,170,5,9,17.5
7.82,1,2,365,5,10,15.6
8.06,1,1,58,2,1,9.9
7.96,2,1,180,1,8,12.7
8.67,5,1,18,2,6,13.6
6.56,4,1,225,3,1,10.9
6.12,5,1,472,4,4,14.1
7.23,3,2,94,1,5,11.3
8.82,1,0,296,5,7,13.5
6.81,3,2,592,2,8,16.2
8.69,4,2,174,5,9,16.3
9.88,3,2,221,1,6,17.1
6.38,5,3,53,5,10,14.3
8.69,3,3,402,2,9,19.2
7.78,4,2,317,2,4,15.9
9.47,4,0,348,0,8,15.3
6.71,4,2,442,5,3,14.2
8.77,5,1,579,0,4,17.1
9.35,4,3,539,0,10,21.0
9.78,1,3,281,5,4,18.2
8.73,4,2,359,1,6,16.9
7.99,3,2,7,3,9,13.5
8.47,3,0,562,2,6,15.4
9.48,3,0,490,4,1,15.1
8.28,5,1,340,0,5,15.3
6.12,3,2,471,1,9,14.8
9.72,5,2,248,5,5,18.4
8.76,5,2,234,1,6,15.7
8.71,4,3,82,1,3,14.8
6.86,1,1,92,5,8,10.0
8.64,4,0,393,4,10,15.8
7.58,4,3,267,5,4,15.6
8.6,5,3,416,4,4,19.2
6.43,5,3,582,5,5,17.7
8.63,3,3,528,0,10,19.5
10.0,3,1,252,4,9,17.4
6.19,4,2,121,0,8,10.7
9.91,2,0,9,4,7,13.3
7.63,2,0,315,4,5,11.3
9.48,3,3,272,5,9,20.1
9.13,2,3,305,4,9,17.8
8.27,3,1,209,0,10,12.7
8.95,5,3,463,5,10,21.2
9.51,4,0,415,2,2,15.1
7.62,1,0,215,0,4,8.9
7.31,4,2,79,2,8,13.3
8.67,3,2,479,1,1,15.6
9.23,3,0,546,5,5,16.6
9.05,4,0,17,1,8,13.4
9.19,3,1,164,5,2,14.9
7.74,2,1,524,5,2,14.9
9.27,2,0,201,0,8,13.1
6.48,3,3,345,2,10,15.4
8.18,3,2,365,5,9,17.0
6.02,2,0,447,2,7,10.5
7.3,3,3,512,5,8,17.7
7.47,3,0,318,2,5,11.1
7.58,4,2,216,1,1,11.9
8.78,1,2,33,0,4,11.9
7.55,2,1,265,5,2,12.2
7.79,4,1,79,3,3,11.7
6.95,1,1,412,2,3,10.9
7.49,3,1,251,2,9,12.4
6.91,3,2,11,3,10,12.4
6.29,4,3,400,0,4,13.7
8.41,3,3,281,2,2,16.1
8.67,5,3,111,0,3,15.6
8.48,4,0,377,2,3,14.1
7.85,1,1,267,4,7,12.9
7.52,4,1,297,2,8,14.2
9.45,2,2,316,4,6,17.7
8.08,4,2,569,5,4,18.1
7.92,3,0,508,0,6,13.7
6.1,3,0,545,2,1,10.2
7.36,5,3,364,1,10,17.5
7.52,5,2,546,1,8,18.4
7.6,5,1,270,3,1,13.5
8.32,1,3,473,1,5,16.0
8.13,5,1,536,4,2,16.8
8.43,1,3,233,1,6,14.1
9.06,5,1,58,1,9,14.9
9.25,1,0,250,1,5,11.8
8.87,4,3,85,2,4,16.1
9.82,4,1,389,3,2,17.0
6.07,3,1,179,0,3,8.7
6.78,1,2,148,3,6,11.4
6.03,2,3,582,4,8,15.7
8.59,3,1,120,2,8,13.5
9.59,4,2,255,5,5,18.2
6.97,1,1,308,2,5,10.4
9.71,5,3,58,1,10,18.7
6.24,2,0,68,1,3,6.4
9.74,4,3,445,4,7,21.5
7.41,3,3,387,5,6,17.1
6.41,1,1,85,2,1,6.4
7.94,2,1,226,5,4,12.2
7.03,1,3,592,0,6,14.6
7.14,5,2,183,3,6,14.3
7.23,3,2,321,2,3,13.1
9.21,1,2,317,5,6,15.5
8.16,4,1,565,0,10,18.1
7.25,3,1,398,0,6,11.8
8.44,4,3,292,3,9,18.4
8.86,1,0,292,0,9,13.0
7.09,3,1,484,4,2,13.1
7.65,4,3,446,0,4,16.6
6.49,5,3,411,5,9,17.1
6.72,5,0,507,4,4,13.7
8.72,1,2,243,0,8,13.2
6.73,3,3,419,1,10,16.5
8.1,2,3,153,0,3,13.2
8.84,3,3,423,4,3,17.4
6.43,5,2,272,0,9,14.0
8.27,4,2,519,0,10,18.9
7.03,2,0,127,0,8,8.5
9.85,1,1,372,4,1,15.1
7.93,2,2,567,0,10,16.5
9.22,1,1,158,3,2,12.2
8.2,2,1,570,5,3,15.3
